episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:56:50.938322
1,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:56:55.261797
2,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:56:59.636393
3,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:03.987655
4,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:08.275639
5,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:12.335686
6,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:16.562117
7,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:20.869412
8,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:25.186190
9,IPPO_latest__vs_SPPPO_latest,IPPO_latest_,SPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:29.503626
0,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:35.896182
1,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:40.229215
2,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:44.569858
3,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:49.303565
4,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:53.820627
5,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:57:58.486972
6,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:03.024674
7,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:07.763249
8,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_1,agent_0,IPPO_latest_,41,-1.0,1.0,-1.0,1.0,winner,2025-07-29T20:58:09.571768
9,IPPO_latest__vs_FSPPPO_latest,IPPO_latest_,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:13.962090
0,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:16.569616
1,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:19.179936
2,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:21.854209
3,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:24.555113
4,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:27.355660
5,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:29.987965
6,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:32.695700
7,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:35.455217
8,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:38.279293
9,IPPO_latest__vs_scripted_noop,IPPO_latest_,scripted_noop,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:58:40.995893
0,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_0,agent_1,IPPO_latest_,43,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:43.497769
1,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_0,agent_1,IPPO_latest_,25,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:44.255575
2,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_0,agent_1,IPPO_latest_,16,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:44.747668
3,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_0,agent_1,IPPO_latest_,27,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:45.543014
4,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_0,agent_1,IPPO_latest_,18,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:46.079363
5,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_1,agent_0,scripted_random,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:47.380851
6,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_1,agent_0,scripted_random,44,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:48.596004
7,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_1,agent_0,scripted_random,11,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:48.872330
8,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_1,agent_0,scripted_random,15,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:49.254631
9,IPPO_latest__vs_scripted_random,IPPO_latest_,scripted_random,agent_1,agent_0,scripted_random,22,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:49.910289
0,IPPO_latest__vs_scripted_seek,IPPO_latest_,scripted_seek,agent_0,agent_1,IPPO_latest_,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:50.308952
1,IPPO_latest__vs_scripted_seek,IPPO_latest_,scripted_seek,agent_0,agent_1,IPPO_latest_,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:50.477110
2,IPPO_latest__vs_scripted_seek,IPPO_latest_,scripted_seek,agent_0,agent_1,IPPO_latest_,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:50.847229
