episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_0,agent_1,FSPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:03.982640
1,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_0,agent_1,FSPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:04.126538
2,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_0,agent_1,,26,0.0,0.0,0.0,0.0,draw,2025-07-29T21:01:04.800872
3,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_0,agent_1,FSPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:04.963630
4,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_0,agent_1,scripted_dodge,12,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:05.332018
5,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:05.525796
6,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,14,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:05.959961
7,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:06.310344
8,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_1,agent_0,FSPPPO_latest,12,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:06.650385
9,FSPPPO_latest_vs_scripted_dodge,FSPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:06.819013
