episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_0,agent_1,FSPPPO_latest,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:56.593402
1,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_0,agent_1,FSPPPO_latest,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:56.908863
2,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_0,agent_1,FSPPPO_latest,15,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:57.323879
3,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_0,agent_1,FSPPPO_latest,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:57.737113
4,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_0,agent_1,FSPPPO_latest,14,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:58.168085
5,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_1,agent_0,scripted_random,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:58.559915
6,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_1,agent_0,scripted_random,14,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:58.978533
7,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_1,agent_0,scripted_random,26,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:59.691879
8,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_1,agent_0,scripted_random,14,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:00.058408
9,FSPPPO_latest_vs_scripted_random,FSPPPO_latest,scripted_random,agent_1,agent_0,scripted_random,15,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:00.496594
