episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_0,agent_1,FSPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:00.782230
1,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_0,agent_1,FSPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:00.941865
2,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_0,agent_1,FSPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:01.102885
3,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_0,agent_1,FSPPPO_latest,24,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:01.798982
4,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_0,agent_1,FSPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:01.965628
5,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_1,agent_0,FSPPPO_latest,12,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:02.291528
6,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_1,agent_0,scripted_seek,26,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:03.009148
7,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_1,agent_0,FSPPPO_latest,12,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:03.313947
8,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_1,agent_0,scripted_seek,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:03.475151
9,FSPPPO_latest_vs_scripted_seek,FSPPPO_latest,scripted_seek,agent_1,agent_0,scripted_seek,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:03.791889
