episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_0,agent_1,IPPO_latest_,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:52.839853
1,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_0,agent_1,IPPO_latest_,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:52.998539
2,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_0,agent_1,IPPO_latest_,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:53.177713
3,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_0,agent_1,IPPO_latest_,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:53.356068
4,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_0,agent_1,IPPO_latest_,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:53.513682
5,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_1,agent_0,scripted_dodge,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:53.689261
6,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_1,agent_0,scripted_dodge,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:53.848824
7,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_1,agent_0,scripted_dodge,14,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:54.239542
8,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_1,agent_0,scripted_dodge,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:54.393314
9,IPPO_latest__vs_scripted_dodge,IPPO_latest_,scripted_dodge,agent_1,agent_0,scripted_dodge,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:54.562922
