episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_0,agent_1,FSPPPO_latest,50,-1.0,1.0,-1.0,1.0,winner,2025-07-29T20:59:06.956588
1,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:11.582162
2,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:16.144881
3,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:20.575296
4,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_0,agent_1,FSPPPO_latest,41,-1.0,1.0,-1.0,1.0,winner,2025-07-29T20:59:22.373201
5,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:26.778599
6,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:30.977430
7,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:35.574942
8,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:40.061044
9,SPPPO_latest_vs_FSPPPO_latest,SPPPO_latest,FSPPPO_latest,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:44.594263
