episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T21:00:29.414870
1,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_0,agent_1,SPPPO_latest,87,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:32.245536
2,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_0,agent_1,SPPPO_latest,99,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:35.592711
3,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_0,agent_1,SPPPO_latest,37,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:36.878377
4,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_0,agent_1,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T21:00:40.192655
5,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_1,agent_0,scripted_centaur,24,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:40.934266
6,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_1,agent_0,scripted_centaur,41,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:42.281829
7,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T21:00:45.782034
8,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T21:00:49.315426
9,SPPPO_latest_vs_scripted_centaur,SPPPO_latest,scripted_centaur,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T21:00:52.658096
