episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_0,agent_1,SPPPO_latest,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:23.306161
1,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_0,agent_1,SPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:23.501000
2,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_0,agent_1,SPPPO_latest,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:23.822863
3,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_0,agent_1,SPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:23.985768
4,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_0,agent_1,SPPPO_latest,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:24.166046
5,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:24.520919
6,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:24.889255
7,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:25.256069
8,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:25.428374
9,SPPPO_latest_vs_scripted_dodge,SPPPO_latest,scripted_dodge,agent_1,agent_0,scripted_dodge,12,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:00:25.775705
