episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_0,agent_1,scripted_centaur,6,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:44.376867
1,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_0,agent_1,scripted_centaur,15,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:44.578678
2,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_0,agent_1,scripted_centaur,15,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:44.766624
3,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_0,agent_1,scripted_centaur,6,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:44.843633
4,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_0,agent_1,scripted_centaur,6,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:44.927067
5,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_1,agent_0,scripted_dodge,6,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:44.999929
6,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_1,agent_0,scripted_dodge,6,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:45.093126
7,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_1,agent_0,scripted_dodge,6,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:45.167130
8,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_1,agent_0,scripted_dodge,15,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:45.392629
9,scripted_dodge_vs_scripted_centaur,scripted_dodge,scripted_centaur,agent_1,agent_0,scripted_dodge,15,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:45.616675
