episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_0,agent_1,scripted_noop,21,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:14.508411
1,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_0,agent_1,scripted_noop,28,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:14.696607
2,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_0,agent_1,scripted_noop,39,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:14.961878
3,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_0,agent_1,scripted_noop,32,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:15.162973
4,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_0,agent_1,scripted_noop,23,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:15.333322
5,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T21:01:16.026332
6,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_1,agent_0,scripted_random,15,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:16.141631
7,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_1,agent_0,scripted_random,23,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:16.316016
8,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_1,agent_0,scripted_random,11,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:16.407822
9,scripted_noop_vs_scripted_random,scripted_noop,scripted_random,agent_1,agent_0,scripted_random,90,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:17.082631
