episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_0,agent_1,scripted_noop,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:17.459537
1,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_0,agent_1,scripted_noop,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:17.558672
2,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_0,agent_1,scripted_noop,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:17.667332
3,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_0,agent_1,scripted_noop,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:17.782680
4,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_0,agent_1,scripted_noop,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:17.882633
5,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_1,agent_0,scripted_seek,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:17.991165
6,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_1,agent_0,scripted_seek,6,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:18.041565
7,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_1,agent_0,scripted_seek,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:18.146831
8,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_1,agent_0,scripted_seek,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:18.249449
9,scripted_noop_vs_scripted_seek,scripted_noop,scripted_seek,agent_1,agent_0,scripted_seek,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:18.360052
