episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_0,agent_1,scripted_centaur,36,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:35.281399
1,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_0,agent_1,scripted_centaur,40,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:35.993049
2,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_0,agent_1,scripted_random,26,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:36.268269
3,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_0,agent_1,scripted_random,10,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:36.460660
4,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_0,agent_1,scripted_centaur,34,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:37.122419
5,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_1,agent_0,,42,0.0,0.0,0.0,0.0,draw,2025-07-29T21:01:37.930660
6,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_1,agent_0,scripted_centaur,51,1.0,-1.0,1.0,-1.0,winner,2025-07-29T21:01:38.940065
7,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_1,agent_0,scripted_random,32,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:39.530867
8,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_1,agent_0,scripted_random,20,-1.0,1.0,-1.0,1.0,winner,2025-07-29T21:01:39.912022
9,scripted_random_vs_scripted_centaur,scripted_random,scripted_centaur,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T21:01:41.656352
